period_id,dimension_type,dimension_id,dimension_name,metric_id,metric_value,source_class,metric_version
2026-W30,tag,brand-new-format,新店型,likes_median,1336,brand,bi-metric-v1.2
2026-W30,tag,brand-new-format,新店型,likes_p75,1438,brand,bi-metric-v1.2
2026-W30,tag,brand-ugc,UGC互动,event_count,3,brand,bi-metric-v1.2
2026-W30,tag,brand-ugc,UGC互动,content_count,3,brand,bi-metric-v1.2
2026-W30,tag,brand-ugc,UGC互动,active_brand_count,2,brand,bi-metric-v1.2
2026-W30,tag,brand-ugc,UGC互动,likes_valid_count,3,brand,bi-metric-v1.2
2026-W30,tag,brand-ugc,UGC互动,likes_median,499,brand,bi-metric-v1.2
2026-W30,tag,brand-ugc,UGC互动,likes_p75,713,brand,bi-metric-v1.2
2026-W30,tag,brand-offline-event,联名线下活动,event_count,2,brand,bi-metric-v1.2
2026-W30,tag,brand-offline-event,联名线下活动,content_count,2,brand,bi-metric-v1.2
2026-W30,tag,brand-offline-event,联名线下活动,active_brand_count,2,brand,bi-metric-v1.2
2026-W30,tag,brand-offline-event,联名线下活动,likes_valid_count,2,brand,bi-metric-v1.2
2026-W30,tag,brand-offline-event,联名线下活动,likes_median,1176,brand,bi-metric-v1.2
2026-W30,tag,brand-offline-event,联名线下活动,likes_p75,1231.5,brand,bi-metric-v1.2
2026-W30,tag,brand-seasonal,节日营销,event_count,2,brand,bi-metric-v1.2
2026-W30,tag,brand-seasonal,节日营销,content_count,3,brand,bi-metric-v1.2
2026-W30,tag,brand-seasonal,节日营销,active_brand_count,2,brand,bi-metric-v1.2
2026-W30,tag,brand-seasonal,节日营销,likes_valid_count,3,brand,bi-metric-v1.2
2026-W30,tag,brand-seasonal,节日营销,likes_median,363,brand,bi-metric-v1.2
2026-W30,tag,brand-seasonal,节日营销,likes_p75,848.5,brand,bi-metric-v1.2
2026-W30,tag,brand-corporate-legal,企业/法律/公共事务,event_count,1,brand,bi-metric-v1.2
2026-W30,tag,brand-corporate-legal,企业/法律/公共事务,content_count,1,brand,bi-metric-v1.2
2026-W30,tag,brand-corporate-legal,企业/法律/公共事务,active_brand_count,1,brand,bi-metric-v1.2
2026-W30,tag,brand-corporate-legal,企业/法律/公共事务,likes_valid_count,1,brand,bi-metric-v1.2
2026-W30,tag,brand-corporate-legal,企业/法律/公共事务,likes_median,37000,brand,bi-metric-v1.2
2026-W30,tag,brand-corporate-legal,企业/法律/公共事务,likes_p75,37000,brand,bi-metric-v1.2
2026-W30,tag,brand-person,人物传播,event_count,1,brand,bi-metric-v1.2
2026-W30,tag,brand-person,人物传播,content_count,1,brand,bi-metric-v1.2
2026-W30,tag,brand-person,人物传播,active_brand_count,1,brand,bi-metric-v1.2
2026-W30,tag,brand-person,人物传播,likes_valid_count,1,brand,bi-metric-v1.2
2026-W30,tag,brand-person,人物传播,likes_median,5053,brand,bi-metric-v1.2
2026-W30,tag,brand-person,人物传播,likes_p75,5053,brand,bi-metric-v1.2
2026-W30,tag,brand-supply-chain,原料/产区/供应链,event_count,1,brand,bi-metric-v1.2
2026-W30,tag,brand-supply-chain,原料/产区/供应链,content_count,1,brand,bi-metric-v1.2
2026-W30,tag,brand-supply-chain,原料/产区/供应链,active_brand_count,1,brand,bi-metric-v1.2
2026-W30,tag,brand-supply-chain,原料/产区/供应链,likes_valid_count,1,brand,bi-metric-v1.2
2026-W30,tag,brand-supply-chain,原料/产区/供应链,likes_median,3730,brand,bi-metric-v1.2
2026-W30,tag,brand-supply-chain,原料/产区/供应链,likes_p75,3730,brand,bi-metric-v1.2
2026-W30,tag,brand-store-channel,门店渠道,event_count,1,brand,bi-metric-v1.2
2026-W30,tag,brand-store-channel,门店渠道,content_count,1,brand,bi-metric-v1.2
2026-W30,tag,brand-store-channel,门店渠道,active_brand_count,1,brand,bi-metric-v1.2
2026-W30,tag,brand-store-channel,门店渠道,likes_valid_count,1,brand,bi-metric-v1.2
2026-W30,tag,brand-store-channel,门店渠道,likes_median,257,brand,bi-metric-v1.2
2026-W30,tag,brand-store-channel,门店渠道,likes_p75,257,brand,bi-metric-v1.2
2026-W30,tag,product-routine-promotion,常规产品传播,event_count,1,brand,bi-metric-v1.2
2026-W30,tag,product-routine-promotion,常规产品传播,content_count,1,brand,bi-metric-v1.2
2026-W30,tag,product-routine-promotion,常规产品传播,active_brand_count,1,brand,bi-metric-v1.2
2026-W30,tag,product-routine-promotion,常规产品传播,likes_valid_count,1,brand,bi-metric-v1.2
2026-W30,tag,product-routine-promotion,常规产品传播,likes_median,321,brand,bi-metric-v1.2
2026-W30,tag,product-routine-promotion,常规产品传播,likes_p75,321,brand,bi-metric-v1.2
